[INFO] Mi 02.07.2025 03:14:21 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:14:31 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:14:41 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:14:51 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:15:01 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:15:11 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:15:21 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:15:31 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:15:41 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:15:51 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:16:01 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:16:11 CEST → Läuft noch: N=921600000, P=5
[INFO] Mi 02.07.2025 03:16:21 CEST → Läuft noch: N=921600000, P=5
[03:16:23] P=5 done
[03:16:23] Messen mit P=6 ...[INFO] Mi 02.07.2025 03:16:31 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:16:41 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:16:51 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:17:01 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:17:11 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:17:21 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:17:31 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:17:41 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:17:51 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:18:01 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:18:11 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:18:21 CEST → Läuft noch: N=921600000, P=6
[INFO] Mi 02.07.2025 03:18:31 CEST → Läuft noch: N=921600000, P=6
